dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.40338478088378904
0.091,0.091,0.0
-0.08,-0.08,-0.46078948974609374
-0.08,-0.08,0.0
-0.08,-0.08,-0.42138824462890623
-0.08,-0.08,0.0
-0.08,-0.08,-0.4409030914306641
-0.08,-0.08,0.0
-0.08,-0.08,-0.7221893310546875
-0.08,-0.08,0.0
-0.08,-0.08,-0.6030784606933594
-0.08,-0.08,0.0
-0.08,-0.08,-0.5105945587158203
-0.08,-0.08,0.6051830291748047
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4989158630371094
0.091,0.091,0.0
-0.08,-0.08,-0.6148239135742187
-0.08,-0.08,0.0
-0.08,-0.08,-0.4697551727294922
-0.08,-0.08,0.0
-0.08,-0.08,-0.5678112030029296
-0.08,-0.08,0.0
-0.08,-0.08,-0.5812976837158204
-0.08,-0.08,0.0
-0.08,-0.08,-0.7434593200683594
-0.08,-0.08,0.0
-0.08,-0.08,-0.7027374267578125
-0.08,-0.08,0.8084781646728516
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.41116676330566404
0.091,0.091,0.0
-0.08,-0.08,-0.6056659698486329
-0.08,-0.08,0.0
-0.08,-0.08,-0.4969478607177734
-0.08,-0.08,0.0
-0.08,-0.08,-0.5004417419433593
-0.08,-0.08,0.0
-0.08,-0.08,-0.662752914428711
-0.08,-0.08,0.0
-0.08,-0.08,-0.7298126220703125
-0.08,-0.08,0.0
-0.08,-0.08,-0.6059001922607422
-0.08,-0.08,0.7344417572021484
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.5460273742675781
0.091,0.091,0.0
-0.08,-0.08,-0.483978271484375
-0.08,-0.08,0.0
-0.08,-0.08,-0.5535003662109375
-0.08,-0.08,0.0
-0.08,-0.08,-0.5082099914550782
-0.08,-0.08,0.0
-0.08,-0.08,-0.6501815795898438
-0.08,-0.08,0.0
-0.08,-0.08,-0.7677425384521485
-0.08,-0.08,0.0
-0.08,-0.08,-0.5371631622314453
-0.08,-0.08,0.5052093505859375
-0.08,-0.08,0.0
